Timesheet For:,2000-01-01 to 2000-01-14
Employee,Clock In,Clock Out,Hours
Jane Doe,01/1/2000 07:35 AM,01/1/2000 11:31 AM,4:00:00
Jane Doe,01/1/2000 11:58 AM,01/1/2000 04:01 PM,4:00:00
Jane Doe,01/2/2000 07:23 AM,01/2/2000 11:31 AM,4:00:00
Jane Doe,01/2/2000 12:02 PM,01/2/2000 04:00 PM,4:00:00
Jane Doe,01/3/2000 07:33 AM,01/3/2000 11:31 AM,4:00:00
Jane Doe,01/3/2000 12:03 PM,01/3/2000 03:58 PM,4:00:00
Jane Doe,01/6/2000 07:25 AM,01/6/2000 11:32 AM,4:00:00
Jane Doe,01/6/2000 12:01 PM,01/6/2000 04:01 PM,4:00:00
Jane Doe,01/7/2000 07:29 AM,01/7/2000 11:32 AM,4:00:00
Jane Doe,01/8/2000 07:29 AM,01/8/2000 11:31 AM,4:00:00
Jane Doe,01/8/2000 12:02 PM,01/8/2000 04:02 PM,4:00:00
Jane Doe,01/9/2000 07:29 AM,01/9/2000 11:32 AM,4:00:00
Jane Doe,01/9/2000 12:01 PM,01/9/2000 04:01 PM,4:00:00
Jane Doe,01/10/2000 07:28 AM,01/10/2000 11:31 AM,4:00:00
 
Total Hours,Week 1 Hours,Week 2 Hours
56.0,36.0,20.0
 
Signature
 
James Doe,01/1/2000 07:35 AM,01/1/2000 11:31 AM,4:00:00
James Doe,01/1/2000 11:58 AM,01/1/2000 04:01 PM,4:00:00
James Doe,01/2/2000 07:23 AM,01/2/2000 11:31 AM,4:00:00
James Doe,01/2/2000 12:02 PM,01/2/2000 04:00 PM,4:00:00
James Doe,01/3/2000 07:33 AM,01/3/2000 11:31 AM,4:00:00
James Doe,01/3/2000 12:03 PM,01/3/2000 03:58 PM,4:00:00
James Doe,01/6/2000 07:25 AM,01/6/2000 11:32 AM,4:00:00
James Doe,01/6/2000 12:01 PM,01/6/2000 04:01 PM,4:00:00
James Doe,01/7/2000 07:29 AM,01/7/2000 11:32 AM,4:00:00
James Doe,01/8/2000 07:29 AM,01/8/2000 11:31 AM,4:00:00
James Doe,01/8/2000 12:02 PM,01/8/2000 04:02 PM,4:00:00
James Doe,01/9/2000 07:29 AM,01/9/2000 11:32 AM,4:00:00
James Doe,01/9/2000 12:01 PM,01/9/2000 04:01 PM,4:00:00
James Doe,01/10/2000 07:28 AM,01/10/2000 11:31 AM,4:00:00
James Doe,01/11/2000 07:29 AM,01/11/2000 11:32 AM,4:00:00
James Doe,01/11/2000 12:01 PM,01/11/2000 04:01 PM,4:00:00
James Doe,01/12/2000 07:29 AM,01/12/2000 11:32 AM,4:00:00
James Doe,01/12/2000 12:01 PM,01/12/2000 04:01 PM,4:00:00
James Doe,01/13/2000 07:29 AM,01/13/2000 11:32 AM,4:00:00
James Doe,01/13/2000 12:01 PM,01/13/2000 04:01 PM,4:00:00
 
Total Hours,Week 1 Hours,Week 2 Hours
80.0,36.0,44.0
Total Overtime,Week 1 Overtime,Week 2 Overtime
4.0,0,4.0
 
Signature
 
