"Employee ","Clock In ","Clock Out ","Hours ","Minutes "
"John Doe","01/1/2000 07:45 AM","01/1/2000 04:15 PM","8 ","30 "
"John Doe","01/3/2000 07:53 AM","01/3/2000 04:13 PM","8 ","20 "
"John Doe","01/6/2000 07:45 AM","01/6/2000 12:18 PM","4 ","32 "
"John Doe","01/6/2000 12:19 PM","01/6/2000 04:06 PM","3 ","47 "
"John Doe","01/7/2000 07:39 AM","01/7/2000 12:06 PM","4 ","27 "
"John Doe","01/8/2000 07:43 AM","01/8/2000 11:36 AM","3 ","53 "
"John Doe","01/8/2000 12:14 PM","01/8/2000 04:06 PM","3 ","52 "
"John Doe","01/9/2000 07:48 AM","01/9/2000 03:58 PM","8 ","9 "
"John Doe","01/10/2000 08:04 AM","01/10/2000 11:25 AM","3 ","20 "
"John Doe","01/10/2000 12:11 PM","01/10/2000 04:00 PM","3 ","48 "
"","","","",""
"John Doe","","","xx ","xx "
"","","","",""
"Jane Doe","01/1/2000 07:35 AM","01/1/2000 11:31 AM","3 ","56 "
"Jane Doe","01/1/2000 11:58 AM","01/1/2000 04:01 PM","4 ","2 "
"Jane Doe","01/2/2000 07:23 AM","01/2/2000 11:31 AM","4 ","8 "
"Jane Doe","01/2/2000 12:02 PM","01/2/2000 04:00 PM","3 ","57 "
"Jane Doe","01/3/2000 07:33 AM","01/3/2000 11:31 AM","3 ","57 "
"Jane Doe","01/3/2000 12:03 PM","01/3/2000 03:58 PM","3 ","55 "
"Jane Doe","01/6/2000 07:25 AM","01/6/2000 11:32 AM","4 ","7 "
"Jane Doe","01/6/2000 12:01 PM","01/6/2000 04:01 PM","3 ","59 "
"Jane Doe","01/7/2000 07:29 AM","01/7/2000 11:32 AM","4 ","3 "
"Jane Doe","01/8/2000 07:29 AM","01/8/2000 11:31 AM","4 ","2 "
"Jane Doe","01/8/2000 12:02 PM","01/8/2000 04:02 PM","3 ","59 "
"Jane Doe","01/9/2000 07:29 AM","01/9/2000 11:32 AM","4 ","2 "
"Jane Doe","01/9/2000 12:01 PM","01/9/2000 04:01 PM","3 ","59 "
"Jane Doe","01/10/2000 07:28 AM","01/10/2000 11:31 AM","4 ","2 "
"","","","",""
"Jane Doe","","","xx ","x "
"","","","",""
"James Doe","01/1/2000 07:35 AM","01/1/2000 11:31 AM","3 ","56 "
"James Doe","01/1/2000 11:58 AM","01/1/2000 04:01 PM","4 ","2 "
"James Doe","01/2/2000 07:23 AM","01/2/2000 11:31 AM","4 ","8 "
"James Doe","01/2/2000 12:02 PM","01/2/2000 04:00 PM","3 ","57 "
"James Doe","01/3/2000 07:33 AM","01/3/2000 11:31 AM","3 ","57 "
"James Doe","01/3/2000 12:03 PM","01/3/2000 03:58 PM","3 ","55 "
"James Doe","01/6/2000 07:25 AM","01/6/2000 11:32 AM","4 ","7 "
"James Doe","01/6/2000 12:01 PM","01/6/2000 04:01 PM","3 ","59 "
"James Doe","01/7/2000 07:29 AM","01/7/2000 11:32 AM","4 ","3 "
"James Doe","01/8/2000 07:29 AM","01/8/2000 11:31 AM","4 ","2 "
"James Doe","01/8/2000 12:02 PM","01/8/2000 04:02 PM","3 ","59 "
"James Doe","01/9/2000 07:29 AM","01/9/2000 11:32 AM","4 ","2 "
"James Doe","01/9/2000 12:01 PM","01/9/2000 04:01 PM","3 ","59 "
"James Doe","01/10/2000 07:28 AM","01/10/2000 11:31 AM","4 ","2 "
"James Doe","01/11/2000 07:29 AM","01/11/2000 11:32 AM","4 ","2 "
"James Doe","01/11/2000 12:01 PM","01/11/2000 04:01 PM","3 ","59 "
"James Doe","01/12/2000 07:29 AM","01/12/2000 11:32 AM","4 ","2 "
"James Doe","01/12/2000 12:01 PM","01/12/2000 04:01 PM","3 ","59 "
"James Doe","01/13/2000 07:29 AM","01/13/2000 11:32 AM","4 ","2 "
"James Doe","01/13/2000 12:01 PM","01/13/2000 04:01 PM","3 ","59 "
"","","","",""
"James Doe","","","xx ","x "
"","","","",""
